customer_id,signup_date,last_purchase_date,total_orders,total_spent,region,churn_flag
1,2022-04-13,2023-12-16,3,752.99,East,0
2,2022-12-15,2023-02-25,3,2940.39,West,0
3,2022-09-28,2023-03-01,3,2038.99,North,0
4,2022-04-17,2023-05-18,3,4014.17,North,1
5,2022-03-13,2023-02-08,3,2761.57,East,0
6,2022-07-08,2023-01-28,7,4423.23,North,1
7,2022-01-21,2023-02-18,2,4864.43,East,1
8,2022-04-13,2023-05-05,2,823.41,East,0
9,2022-05-02,2023-01-13,3,2034.66,West,0
10,2022-08-03,2023-02-05,3,3358.41,East,0
11,2022-11-27,2023-04-11,4,1596.89,North,0
12,2022-03-29,2023-10-09,2,1408.46,East,0
13,2022-04-10,2023-03-27,3,4087.32,West,0
14,2022-12-26,2023-01-04,3,4903.85,North,0
15,2022-06-01,2023-08-11,3,3891.64,West,0
16,2022-05-11,2023-12-04,2,2666.02,South,1
17,2022-05-30,2023-06-15,3,2268.31,West,0
18,2022-11-05,2023-12-10,1,2744.27,South,1
19,2022-09-15,2023-10-05,5,2367.91,South,0
20,2022-12-10,2023-05-10,4,2564.15,East,0
21,2022-10-21,2023-01-31,3,1096.92,North,0
22,2022-07-11,2023-01-11,4,4528.34,East,0
23,2022-10-04,2023-10-29,3,3797.22,North,1
24,2022-06-10,2023-04-06,3,3436.79,West,0
25,2022-11-10,2023-07-09,4,4754.63,South,0
26,2022-01-22,2023-07-11,3,1493.53,South,0
27,2022-09-10,2023-09-23,4,497.68,South,0
28,2022-08-24,2023-05-08,2,4148.08,West,0
29,2022-12-11,2023-08-26,5,4992.24,West,0
30,2022-02-18,2023-12-21,4,2934.32,East,0
31,2022-02-28,2023-04-22,2,388.17,East,0
32,2022-06-19,2023-11-12,3,3924.29,North,0
33,2022-07-07,2023-12-09,4,461.37,North,1
34,2022-09-28,2023-05-25,4,2746.07,South,0
35,2022-07-09,2023-03-06,4,1459.91,West,0
36,2022-06-24,2023-09-04,5,4583.63,West,0
37,2022-02-20,2023-08-11,2,2311.52,East,0
38,2022-12-30,2023-11-09,3,4502.47,East,0
39,2022-02-24,2023-04-16,3,1565.5,North,0
40,2022-09-01,2023-06-30,3,1998.08,North,0
41,2022-11-16,2023-07-03,2,4740.88,East,0
42,2022-05-11,2023-08-14,3,1086.44,East,1
43,2022-11-03,2023-09-22,2,2934.66,West,1
44,2022-05-15,2023-10-05,6,2003.7,North,0
45,2022-01-21,2023-03-30,4,3893.42,East,0
46,2022-11-25,2023-06-25,2,733.55,East,0
47,2022-06-16,2023-01-18,1,2242.35,South,1
48,2022-10-01,2023-04-16,4,3524.77,East,1
49,2022-03-30,2023-09-28,4,2094.38,East,0
50,2022-11-12,2023-11-15,2,386.81,West,0
51,2022-01-14,2023-06-16,6,3555.05,East,1
52,2022-08-30,2023-01-13,3,2565.67,North,1
53,2022-09-22,2023-12-03,0,155.41,South,0
